cell	artifact_annotation	outlier	region	instance	area	eccentricity	major_axis_length	minor_axis_length	perimeter	centroid_y	centroid_x	convex_area	equivalent_diameter	major_minor_axis_ratio	perim_square_over_area	major_axis_equiv_diam_ratio	convex_hull_resid	centroid_dif	area_nucleus	eccentricity_nucleus	major_axis_length_nucleus	minor_axis_length_nucleus	perimeter_nucleus	centroid-0_nucleus	centroid-1_nucleus	convex_area_nucleus	equivalent_diameter_nucleus	major_minor_axis_ratio_nucleus	perim_square_over_area_nucleus	major_axis_equiv_diam_ratio_nucleus	convex_hull_resid_nucleus	centroid_dif_nucleus	nucleus	region_annotation	distance_to_lumen	segmentation_mask_immune	segmentation_mask_RBC	segmentation_mask_expanded_nucleus	original_segmentation_mask	ilastik_user_label_CD15	ilastik_predicted_class_CD15	ilastik_probability_pos_CD15	ilastik_probability_neg_CD15	ilastik_user_label_CD162	ilastik_predicted_class_CD162	ilastik_probability_pos_CD162	ilastik_probability_neg_CD162	ilastik_user_label_CD2	ilastik_predicted_class_CD2	ilastik_probability_pos_CD2	ilastik_probability_neg_CD2	ilastik_user_label_CD43	ilastik_predicted_class_CD43	ilastik_probability_pos_CD43	ilastik_probability_neg_CD43	ilastik_user_label_CD45RA	ilastik_predicted_class_CD45RA	ilastik_probability_pos_CD45RA	ilastik_probability_neg_CD45RA	ilastik_user_label_CD45RB	ilastik_predicted_class_CD45RB	ilastik_probability_pos_CD45RB	ilastik_probability_neg_CD45RB	ilastik_user_label_CD45	ilastik_predicted_class_CD45	ilastik_probability_pos_CD45	ilastik_probability_neg_CD45	ilastik_user_label_CD57	ilastik_predicted_class_CD57	ilastik_probability_pos_CD57	ilastik_probability_neg_CD57	ilastik_user_label_CD66b	ilastik_predicted_class_CD66b	ilastik_probability_pos_CD66b	ilastik_probability_neg_CD66b	ilastik_user_label_CD8a	ilastik_predicted_class_CD8a	ilastik_probability_pos_CD8a	ilastik_probability_neg_CD8a	ilastik_user_label_HLADR	ilastik_predicted_class_HLADR	ilastik_probability_pos_HLADR	ilastik_probability_neg_HLADR	ilastik_user_label_Syk	ilastik_predicted_class_Syk	ilastik_probability_pos_Syk	ilastik_probability_neg_Syk
7728	out_of_focus	WT1_C-REAL74	1	1	1419	0.60355024	48.32437158	38.53022813	148.1665222	71.38830162	358.6384778	1474	42.50561038	1.254193757	15.47097837	1.136893957	0.037313433	0.001974745	933	0.677712526	40.51623829	29.79268217	119.5391052	68.90032154	355.8445874	970	34.46639661	1.359939265	15.31575314	1.175528697	0.03814433	0.003160563	TRUE	tunica_adventitia	3125.070642	1104	0	0	segmentation_mask_immune	no_user_label	neg	0	1	no_user_label	neg	0	1	no_user_label	neg	0	1	no_user_label	neg	0	1	no_user_label	neg	0.11	0.89	no_user_label	neg	0.22	0.78	no_user_label	neg	0.03	0.97	no_user_label	neg	0.19	0.81	no_user_label	neg	0.01	0.99	no_user_label	neg	0.14	0.86	no_user_label	neg	0.04	0.96	no_user_label	neg	0.01	0.99
2631	Not_assigned	WT1_C-REAL74	1	1	1185	0.886008201	64.1454834	29.7423085	193.2670273	2186.873418	6455.907173	1898	38.84313145	2.156708293	31.52079649	1.651398356	0.375658588	0.151353383	1742	0.624019588	55.5586899	43.41404355	192.6518036	2188.11194	6472.910448	2062	47.09546992	1.279740042	21.30580794	1.179703483	0.155189137	0.039902735	TRUE	tunica_adventitia	2789.984013	439	0	0	segmentation_mask_immune	no_user_label	neg	0.02	0.98	no_user_label	pos	0.89	0.11	no_user_label	neg	0.02	0.98	no_user_label	neg	0.02	0.98	no_user_label	neg	0.06	0.94	no_user_label	neg	0.02	0.98	no_user_label	neg	0.02	0.98	pos	pos	0.68	0.32	no_user_label	neg	0.02	0.98	no_user_label	neg	0.02	0.98	no_user_label	neg	0.03	0.97	no_user_label	pos	0.74	0.26
11157	Not_assigned	CD20Cytoplasmic_C-REAL649,HLAABC_C-REAL597,IFNgamma_C-REAL788,WT1_C-REAL74	1	1	1147	0.655394123	44.18140235	33.3696415	129.5391052	3947.674804	3636.299041	1189	38.21525556	1.32399991	14.62979929	1.156119505	0.035323802	0.004656871	387	0.839852237	30.38904239	16.49563073	79.42640687	3950.764858	3638.94832	411	22.19783106	1.84224798	16.30117341	1.369009535	0.058394161	0.014167378	TRUE	intima	840.5027684	0	0	8821	segmentation_mask_expanded_nucleus	no_user_label	neg	0	1	no_user_label	neg	0	1	no_user_label	neg	0.15	0.85	no_user_label	neg	0.01	0.99	no_user_label	neg	0.05	0.95	no_user_label	neg	0.01	0.99	no_user_label	neg	0.04	0.96	no_user_label	neg	0	1	no_user_label	neg	0.02	0.98	no_user_label	neg	0.02	0.98	no_user_label	neg	0.02	0.98	no_user_label	neg	0.01	0.99
11333	Not_assigned	CD20Cytoplasmic_C-REAL649,IFNgamma_C-REAL788	1	1	2768	0.618611177	68.13258842	53.53158923	211.1665222	3978.321532	3666.201228	2935	59.36604299	1.272754824	16.10957374	1.147669358	0.056899489	0.009095723	1820	0.733286016	59.03094177	40.13633582	168.7106781	3978.281319	3669.289011	1885	48.13830046	1.47076061	15.63917193	1.226278061	0.034482759	0.00585264	TRUE	intima	881.8189993	0	0	8933	segmentation_mask_expanded_nucleus	no_user_label	neg	0	1	no_user_label	neg	0.03	0.97	no_user_label	neg	0.04	0.96	no_user_label	neg	0	1	no_user_label	neg	0.07	0.93	no_user_label	neg	0.06	0.94	no_user_label	neg	0.02	0.98	no_user_label	neg	0	1	no_user_label	neg	0.02	0.98	neg	neg	0.02	0.98	no_user_label	neg	0.03	0.97	no_user_label	neg	0.01	0.99
8800	tissue_fold	Jak1	1	1	2988	0.874250856	91.37633899	44.36087788	247.137085	1156.273092	439.8493976	3421	61.68014072	2.059840638	20.44067563	1.481454775	0.126571178	0.012814677	2348	0.76953716	72.77332777	46.47319521	230.628463	1158.48552	435.0694208	2892	54.67692796	1.565920472	22.6531039	1.330969579	0.188105118	0.027694178	TRUE	tunica_adventitia	2820.047163	5040	0	0	segmentation_mask_immune	no_user_label	neg	0.16	0.84	pos	pos	0.9	0.1	neg	neg	0.13	0.87	no_user_label	pos	0.72	0.28	no_user_label	neg	0.19	0.81	no_user_label	pos	0.73	0.27	no_user_label	neg	0.05	0.95	no_user_label	neg	0	1	no_user_label	neg	0.02	0.98	no_user_label	pos	0.94	0.06	neg	neg	0	1	no_user_label	pos	0.74	0.26
8160	acquisition_bleaching	NA	1	1	3443	0.766909131	85.24108166	54.70395047	262.8355698	691.8260238	360.4557072	3799	66.20999738	1.558225337	20.06463455	1.287435207	0.093708871	0.0148516	901	0.958869796	77.18098619	21.90753624	169.7817459	685.7147614	361.6059933	1297	33.87017611	3.523033597	31.99316454	2.278729994	0.305319969	0.056442402	TRUE	tunica_adventitia	2985.431708	3424	0	0	segmentation_mask_immune	no_user_label	neg	0.01	0.99	neg	neg	0.01	0.99	neg	neg	0.06	0.94	no_user_label	neg	0.04	0.96	no_user_label	neg	0.17	0.83	no_user_label	neg	0.41	0.59	no_user_label	neg	0.03	0.97	no_user_label	neg	0	1	no_user_label	neg	0.01	0.99	no_user_label	neg	0.32	0.68	no_user_label	neg	0	1	no_user_label	neg	0.04	0.96
7936	out_of_focus	NA	1	1	3357	0.68141944	77.57207888	56.77447127	243.9360749	113.9776586	389.3190349	3636	65.37786439	1.366319706	17.72559089	1.186519009	0.076732673	0.012339905	2309	0.694346721	64.9040867	46.70761761	188.0660172	113.0900823	389.8847986	2387	54.22093792	1.389582471	15.31781153	1.197029952	0.032677	0.005874042	TRUE	tunica_adventitia	3084.874622	1312	0	0	segmentation_mask_immune	no_user_label	neg	0.03	0.97	no_user_label	neg	0.11	0.89	no_user_label	neg	0.01	0.99	no_user_label	neg	0.02	0.98	no_user_label	neg	0.07	0.93	no_user_label	neg	0.23	0.77	no_user_label	neg	0.03	0.97	no_user_label	neg	0.49	0.51	no_user_label	neg	0.02	0.98	no_user_label	neg	0.25	0.75	no_user_label	neg	0.05	0.95	no_user_label	neg	0	1
3047	Not_assigned	NA	1	1	977	0.559954482	39.28983966	32.55255044	124.8528137	3991.317298	6454.514841	1032	35.26974674	1.206966555	15.95519457	1.113981338	0.053294574	0.00098122	1164	0.950830787	71.24510543	22.0653825	166.1665222	3991.683849	6451.260309	1260	38.49741329	3.228818056	23.72105938	1.850646559	0.076190476	0.015633748	TRUE	tunica_adventitia	3295.066563	3367	0	1847	segmentation_mask_immune	no_user_label	neg	0	1	no_user_label	neg	0.02	0.98	no_user_label	neg	0.02	0.98	no_user_label	neg	0.06	0.94	no_user_label	neg	0.1	0.9	no_user_label	neg	0.13	0.87	no_user_label	neg	0.05	0.95	no_user_label	neg	0	1	no_user_label	neg	0.01	0.99	no_user_label	pos	0.71	0.29	no_user_label	neg	0.1	0.9	no_user_label	neg	0.04	0.96
7920	out_of_focus	CD271_C-REAL709	1	1	2496	0.724062941	69.18742678	47.7209139	206.7523087	94.9775641	437.1213942	2651	56.37380512	1.449834488	17.12600847	1.227297441	0.058468502	0.011183229	1443	0.782640222	54.40772487	33.86741173	147.882251	93.01732502	434.5266805	1484	42.86355868	1.606491967	15.15534315	1.269323559	0.027628032	0.002901092	TRUE	tunica_media	3043.181865	1280	0	0	segmentation_mask_immune	no_user_label	neg	0.01	0.99	no_user_label	neg	0.14	0.86	no_user_label	neg	0.21	0.79	no_user_label	neg	0.03	0.97	no_user_label	neg	0.17	0.83	no_user_label	neg	0.32	0.68	no_user_label	neg	0.03	0.97	no_user_label	neg	0	1	no_user_label	neg	0.02	0.98	no_user_label	neg	0.05	0.95	no_user_label	neg	0.04	0.96	no_user_label	neg	0.11	0.89
3015	Not_assigned	NA	1	1	1753	0.776069811	60.71863301	38.29202424	176.6812409	3924.756418	6402.834569	1838	47.24393	1.585673106	17.80733649	1.28521554	0.046245919	0.00251732															FALSE	tunica_adventitia	3224.867524	3271	0	0	segmentation_mask_immune	no_user_label	neg	0.02	0.98	no_user_label	neg	0.05	0.95	no_user_label	neg	0.1	0.9	no_user_label	neg	0.08	0.92	no_user_label	neg	0.13	0.87	no_user_label	neg	0.08	0.92	no_user_label	neg	0.05	0.95	no_user_label	neg	0	1	no_user_label	neg	0.03	0.97	no_user_label	neg	0.08	0.92	no_user_label	neg	0.02	0.98	no_user_label	neg	0.03	0.97
